,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
308,8_binette_bin90.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
309,1_binette_bin53.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
310,3_binette_bin63.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
311,8_binette_bin89.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
312,4_binette_bin17.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
313,2_binette_bin218.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
314,2_binette_bin82.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
315,3_binette_bin226.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
316,3_binette_bin214.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
317,3_binette_bin170.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
318,3_binette_bin210.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
319,7_binette_bin74.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
320,3_binette_bin222.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
321,3_binette_bin98.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
322,3_binette_bin196.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
323,1_binette_bin7.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
324,1_binette_bin48.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
325,4_binette_bin23.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
326,2_binette_bin75.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
327,2_binette_bin181.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
328,2_binette_bin200.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
329,3_binette_bin18.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
330,2_binette_bin185.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
331,2_binette_bin196.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
332,3_binette_bin49.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
333,7_binette_bin68.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
